INDEX	Stat	___ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	advdisplay	___eol	1.09 - Save Bits	1.09 - Save Add	op stat1__STR	op stat2__STR	op stat3__STR	descstrpos__STR	descstrneg__STR	descstr2__STR	
0	strength	0	1		11			1	0	10			1	1		125	55		7	32	8	32	0		0	0	65535	0	0	0								67	19	0	3473	3473	5382	1	19		Moditem2allattrib	Moditem2allattrib		6		0	0	0	65535	65535	65535	ModStr1a	ModStr1a		
1	energy	1			11			1	0	10			1	1		100	55		7	32	7	32	0		8	0	65535	0	0	0								61	19	0	3476	3476	5382	1	19		Moditem2allattrib	Moditem2allattrib				0	0	0	maxmana	65535	65535	ModStr1d	ModStr1d		
2	dexterity	2	1		11			1	0	10			1	1		125	55		7	32	7	32	0		0	0	65535	0	0	0								65	19	0	3474	3474	5382	1	19		Moditem2allattrib	Moditem2allattrib				0	0	0	65535	65535	65535	ModStr1b	ModStr1b		
3	vitality	3			11			1	0	10			1	1		100	55		7	32	7	32	0		9	0	65535	0	0	0								63	19	0	3475	3475	5382	1	19		Moditem2allattrib	Moditem2allattrib				0	0	0	maxhp	maxstamina	65535	ModStr1c	ModStr1c		
4	statpts	4			9			1	0	10											0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
5	newskills	5			9			1	0	8											0	0	0		0	0	65535	0	0	0								0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
6	hitpoints	6			32			1	0	21								8			0	0	0		0	0	65535	0	0	0	1	maxhp						0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
7	maxhp	7			32			1	0	21		1	1	1		56	20	8	8	32	9	32	0		0	0	65535	0	0	0								59	19	0	3493	3493	5382									0	0	0	65535	65535	65535	ModStr1u	ModStr1u		
8	mana	8			32			1	0	21								8			0	0	0	1	0	0	65535	0	0	0	1	maxmana						0	0	0	5382	5382	5382									0	0	0	65535	65535	65535				
9	maxmana	9			32			1	0	21		1	1	0		81	20	8	8	32	8	32	0		0	0	65535	0	0	0								55	19	0	3477	3477	5382									0	0	0	65535	65535	65535	ModStr1e	ModStr1e		
