INDEX	ItemType	Code	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	___eol	equiv1Index	equiv2Index	MaxSock1	MaxSock25	MaxSock40	
0	Any				0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0	0	0	0	0	0	
1	None	none			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0	0	0	0	0	0	
2	Shield	shie	shld		1	1	rarm	larm			0	0	0	0		1	0	0	3	25	3	40	4	0	3			0							armo	0	51	0	3	3	4	
3	Armor	tors	armo		1	1	tors	tors			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							armo	0	50	0	3	4	6	
4	Gold	gold	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0	52	0	0	0	0	
5	Bow Quiver	bowq	misl	seco	0	1	rarm	larm		bow	0	1	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	56	54	0	0	0	
6	Crossbow Quiver	xboq	misl	seco	0	1	rarm	larm		xbow	0	1	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	56	54	0	0	0	
7	Player Body Part	play	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	52	0	0	0	0	
8	Herb	herb	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0							misc	0	52	0	0	0	0	
9	Potion	poti	misc		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0	52	0	0	0	0	
10	Ring	ring	misc	merc	0	1	rrin	lrin			0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			5	invrin1	invrin2	invrin3	invrin4	invrin5		misc	0	52	37	0	0	0	
11	Elixir	elix	misc		0	0					0	0	0	0			0	1	0	25	0	40	0	0	3			0							misc	0	52	0	0	0	0	
12	Amulet	amul	misc	merc	0	1	neck	neck			0	0	0	0	1	1	0	0	0	25	0	40	0	0	3			3	invamu1	invamu2	invamu3				misc	0	52	37	0	0	0	
13	Charm	char	misc		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			3	invch1	invch4	invch7				misc	0	52	0	0	0	0	
14	Not Used				0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0	0	0	0	0	0	
15	Boots	boot	armo	merc	1	1	feet	feet			0	0	0	0		1	0	0	0	25	0	40	0	0	3			0							armo	0	50	37	0	0	0	
16	Gloves	glov	armo	merc	1	1	glov	glov			0	0	0	0		1	0	0	0	25	0	40	0	0	3			0							armo	0	50	37	0	0	0	
17	Not Used				0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0	0	0	0	0	0	
18	Book	book	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	52	0	0	0	0	
19	Belt	belt	armo	merc	1	1	belt	belt			0	0	0	0		1	0	0	0	25	0	40	0	0	3			0							armo	0	50	37	0	0	0	
20	Gem	gem	sock		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	53	0	0	0	0	
21	Torch	torc	misc		0	1					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	52	0	0	0	0	
22	Scroll	scro	misc		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0	52	0	0	0	0	
23	Not Used				0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0	0	0	0	0	0	
24	Scepter	scep	rod	afwe	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	1	pal		0							weap	0	55	114	3	5	6	
25	Wand	wand	rod		1	1	rarm	larm			0	0	0	0		1	0	0	2	25	2	40	2	0	1	nec		0							weap	0	55	0	2	2	2	
26	Staff	staf	rod		1	1	rarm	larm			0	0	0	0		1	0	0	5	25	6	40	6	0	1	sor		0							weap	0	55	0	5	6	6	
27	Bow	bow	miss		0	1	rarm	larm	bowq		0	0	0	0		1	0	0	3	25	4	40	6	1	3			0							weap	0	47	0	3	4	6	
28	Axe	axe	mele	afwe	1	1	rarm	larm			0	0	0	0		1	0	0	4	25	5	40	6	0	3			0							weap	0	46	114	4	5	6	
29	Club	club	blun	afwe	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0	57	114	3	4	6	
30	Sword	swor	blde	afwe	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0	110	114	3	4	6	
31	Hammer	hamm	blun	afwe	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0	57	114	3	4	6	
32	Knife	knif	blde	afwe	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	3			0							weap	0	110	114	2	3	3	
33	Spear	spea	sppl		1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0	111	0	3	4	6	
34	Polearm	pole	sppl		1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0	111	0	3	4	6	
35	Crossbow	xbow	miss		1	1	rarm	larm	xboq		0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0	47	0	3	4	6	
36	Mace	mace	blun	afwe	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0	57	114	3	4	6	
37	Helm	merc			1	1	head	head			0	0	0	0		1	0	0	2	25	2	40	4	0	3			0							armo	0	0	0	2	2	4	
38	Missile Potion	tpot	thro		0	1	rarm	larm			1	1	1	1			1	0	0	25	0	40	0	0	3			0							misc	0	48	0	0	0	0	
39	Quest	ques			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0	0	0	0	0	0	
40	Body Part	body	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0	52	0	0	0	0	
41	Key	key	misc		0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0	52	0	0	0	0	
