INDEX	Name	___ Description	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add	code	mod1code__STR	mod1param__STR	mod2code__STR	mod2param__STR	mod3code__STR	mod3param__STR	itype1__STR	itype2__STR	itype3__STR	itype4__STR	itype5__STR	itype6__STR	itype7__STR	etype1__STR	etype2__STR	etype3__STR	etype4__STR	etype5__STR	
1	of Defense1	+# Defense & +#% Enhanced Damage	100	1	1	12		8				60	61	0	0	5	10	-1	0	0	0	-1	0	0	0		10	12	0	0	0	0	0	0	0	0	0	0	0	0	of Defense1	ac	0		0		0	ring	amul											
2	of Defense1	+# Defense & +#% Enhanced Damage	100	1	1	33		27				60	61	0	0	11	25	-1	0	0	0	-1	0	0	0		10	12	0	0	0	0	0	0	0	0	0	0	0	0	of Defense1	ac	0		0		0	ring	amul											
3	of Guarding	+# Defense & +#% Enhanced Damage	100	1	1	51		46				60	61	0	0	26	50	-1	0	0	0	-1	0	0	0		10	12	0	0	0	0	0	0	0	0	0	0	0	0	of Guarding	ac	0		0		0	ring	amul											
4	of Craftsmanship	+# to Maximum Damage	100	1	1	1	55	1				96	14	28	0	1	2	-1	0	0	0	-1	0	0	0		12	10	0	0	0	0	0	0	0	0	0	0	0	0	of Craftsmanship	dmg-max	0		0		0	amul	ring											
5	of Craftsmanship	+# to Maximum Damage	100	1	1	22		19				96	14	28	0	3	4	-1	0	0	0	-1	0	0	0		12	10	0	0	0	0	0	0	0	0	0	0	0	0	of Craftsmanship	dmg-max	0		0		0	amul	ring											
6	of Quality	+# to Maximum Damage	100	1	1	53		49				96	14	28	0	5	7	-1	0	0	0	-1	0	0	0		12	10	0	0	0	0	0	0	0	0	0	0	0	0	of Quality	dmg-max	0		0		0	amul	ring											
7	of Quality	+# to Maximum Damage	100	1	1	77		61				96	14	28	0	8	10	-1	0	0	0	-1	0	0	0		12	10	0	0	0	0	0	0	0	0	0	0	0	0	of Quality	dmg-max	0		0		0	amul	ring											
8	of Craftsmanship	+# to Maximum Damage	100	1	1	1	20	1				192	14	28	0	1	2	-1	0	0	0	-1	0	0	0		45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Craftsmanship	dmg-max	0		0		0	weap							wand	orb				
9	of Quality	+# to Maximum Damage	100	1	1	4	30	3				192	14	28	0	3	4	-1	0	0	0	-1	0	0	0		45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Quality	dmg-max	0		0		0	weap							wand	orb				
10	of Maiming	+# to Maximum Damage	100	1	1	7	40	5				192	14	28	0	5	6	-1	0	0	0	-1	0	0	0		45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Maiming	dmg-max	0		0		0	weap							wand	orb				
11	of Slaying	+# to Maximum Damage	100	1	1	11	55	8				192	14	28	0	7	8	-1	0	0	0	-1	0	0	0		45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Slaying	dmg-max	0		0		0	weap							wand	orb				
12	of Gore	+# to Maximum Damage	100	1	1	14	65	10				192	14	28	0	9	10	-1	0	0	0	-1	0	0	0		45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Gore	dmg-max	0		0		0	weap							wand	orb				
13	of Carnage	+# to Maximum Damage	100	1	1	19	80	14				176	14	28	0	11	14	-1	0	0	0	-1	0	0	0	blac	45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Carnage	dmg-max	0		0		0	weap							wand	orb				
14	of Slaughter	+# to Maximum Damage	100	1	1	25		18				168	14	28	0	15	20	-1	0	0	0	-1	0	0	0	blac	45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Slaughter	dmg-max	0		0		0	weap							wand	orb				
15	of Butchery	+# to Maximum Damage	100	1	1	35		27				160	14	28	0	21	40	-1	0	0	0	-1	0	0	0	blac	45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Butchery	dmg-max	0		0		0	weap							wand	orb				
16	of Evisceration	+# to Maximum Damage	100	1	1	45		37				144	14	28	0	41	63	-1	0	0	0	-1	0	0	0	blac	45	0	0	0	0	0	0	25	68	0	0	0	0	0	of Evisceration	dmg-max	0		0		0	weap							wand	orb				
17	of Evisceration	+# to Maximum Damage	100	1	1	60		50				128	14	28	0	64	80	-1	0	0	0	-1	0	0	0	blac	45	0	0	0	0	0	0	25	26	68	0	0	0	0	of Evisceration	dmg-max	0		0		0	weap							wand	staf	orb			
18	of Evisceration	+# to Maximum Damage	100	1	1	73		65				112	14	28	0	81	100	-1	0	0	0	-1	0	0	0	blac	45	0	0	0	0	0	0	25	26	68	0	0	0	0	of Evisceration	dmg-max	0		0		0	weap							wand	staf	orb			
19	of Evisceration	+# to Maximum Damage	100	1	1	85		79				88	14	28	0	101	120	-1	0	0	0	-1	0	0	0	blac	45	0	0	0	0	0	0	25	26	68	0	0	0	0	of Evisceration	dmg-max	0		0		0	weap							wand	staf	orb			
20	of Maiming	+# to Maximum Damage	100	1	1	42		34				48	14	28	0	1	4	-1	0	0	0	-1	0	0	0		51	0	0	0	0	0	0	0	0	0	0	0	0	0	of Maiming	dmg-max	0		0		0	shld												
21	of Maiming	+# to Maximum Damage	100	1	1	65		51				36	14	28	0	5	8	-1	0	0	0	-1	0	0	0		51	0	0	0	0	0	0	0	0	0	0	0	0	0	of Maiming	dmg-max	0		0		0	shld												
22	of Maiming	+# to Maximum Damage	100	1	1	80		68				36	14	28	0	9	12	-1	0	0	0	-1	0	0	0		51	0	0	0	0	0	0	0	0	0	0	0	0	0	of Maiming	dmg-max	0		0		0	shld												
23	of Craftsmanship	+# to Maximum Damage	100	1	1	1	7	1				48	14	28	0	1	2	-1	0	0	0	-1	0	0	0		75	0	0	0	0	0	0	0	0	0	0	0	0	0	of Craftsmanship	dmg-max	0		0		0	circ												
24	of Craftsmanship	+# to Maximum Damage	100	1	1	12	14	10				48	14	28	0	2	3	-1	0	0	0	-1	0	0	0		75	0	0	0	0	0	0	0	0	0	0	0	0	0	of Craftsmanship	dmg-max	0		0		0	circ												
