INDEX	code	___Enabled	___Tooltip	func1	stat1	set1	val1	func2	stat2	set2	val2	func3	stat3	set3	val3	func4	stat4	set4	val4	func5	stat5	set5	val5	func6	stat6	set6	val6	func7	stat7	set7	val7	___Parameter	___Min	___Max	___Notes	___eol	stat1__STR	stat2__STR	stat3__STR	stat4__STR	stat5__STR	stat6__STR	stat7__STR	
0	ac	1	+# Defense	1	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	armorclass							
1	ac-miss	1	+# Defense vs. Missile	1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	armorclass_vs_missile							
2	ac-hth	1	+# Defense vs. Melee	1	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	armorclass_vs_hth							
3	red-dmg	1	Damage Reduced by #	1	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	normal_damage_reduction							
4	red-dmg%	1	Damage Reduced by #%	1	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	damageresist							
5	ac%	1	+#% Enhanced Defense	2	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_armor_percent							
6	red-mag	1	Magic Damage Reduced by #	1	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	magic_damage_reduction							
7	str	1	+# to Strength	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	strength							
8	dex	1	+# to Dexterity	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	dexterity							
9	vit	1	+# to Vitality	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	vitality							
10	enr	1	+# to Energy	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	energy							
11	mana	1	+# to Mana	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	maxmana							
12	mana%	1	Increase Maximum Mana #%	1	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_maxmana_percent							
13	hp	1	+# to Life	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	maxhp							
14	hp%	1	Increase Maximum Life #%	1	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	item_maxhp_percent							
15	att	1	+# to Attack Rating	1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min #	Max #		0	tohit							
16	block	1	#% Increased Chance of Blocking	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Min %	Max %		0	toblock							
