INDEX	Superunique	Name	Class	hcIdx	MonSound	Mod1	Mod2	Mod3	MinGrp	MaxGrp	AutoPos	Stacks	Replaceable	Utrans	Utrans(N)	Utrans(H)	TC	TC Desecrated	TC(N)	TC(N) Desecrated	TC(H)	TC(H) Desecrated	___eol	Superunique__STR	level	level(N)	level(H)	Name__STR	class__STR	TC__STR	TC(N)__STR	TC(H)__STR	TC Desecrated__STR	TC(N) Desecrated__STR	TC(H) Desecrated__STR	
0	0	2869	58	0		8	9	16	2	2	1	0		11	11	11	778	0	793	0	808	994	0	Bishibosh	4	39	82	Bishibosh	fallenshaman1	Act 1 Super A	Act 1 (N) Super A	Act 1 (H) Super A			Act 1 (H) Super A Desecrated	
1	1	2870	0	1		5	8	0	5	5	1	0		5	5	5	778	0	793	0	808	994	0	Bonebreak	5	40	86	Bonebreak	skeleton1	Act 1 Super A	Act 1 (N) Super A	Act 1 (H) Super A			Act 1 (H) Super A Desecrated	
2	2	2871	160	2		18	0	0	4	4	1	0		18	18	18	778	0	793	0	808	994	0	Coldcrow	7	39	80	Coldcrow	cr_archer1	Act 1 Super A	Act 1 (N) Super A	Act 1 (H) Super A			Act 1 (H) Super A Desecrated	
3	3	2872	20	3		17	6	16	8	8	0	0	1	29	29	29	779	0	794	0	809	995	0	Rakanishu	8	40	71	Rakanishu	fallen2	Act 1 Super B	Act 1 (N) Super B	Act 1 (H) Super B			Act 1 (H) Super B Desecrated	
4	4	2873	24	4		5	6	0	2	2	1	0	1	4	4	4	1037	0	1038	0	1039	995	0	Treehead WoodFist	5	38	69	Treehead WoodFist	brute2	Treehead Woodfist	Treehead Woodfist (N)	Treehead Woodfist (H)			Act 1 (H) Super B Desecrated	
5	5	2874	365	5		7	0	0	0	0	1	0	1	17	17	17	1095	1096	1099	1100	1103	1104	0	Griswold	5	39	84	Griswold	griswold	Griswold	Griswold (N)	Griswold (H)	Griswold Desecrated A	Griswold (N) Desecrated A	Griswold (H) Desecrated A	
6	6	2875	45	6	countess	6	24	0	6	6	1	0		16	16	16	1159	1160	1163	1164	1167	1168	0	The Countess	11	45	82	The Countess	corruptrogue3	Countess	Countess (N)	Countess (H)	Countess Desecrated A	Countess (N) Desecrated A	Countess (H) Desecrated A	
7	7	2876	11	7		7	18	0	4	4	1	0		31	31	31	779	0	794	0	809	995	0	Pitspawn Fouldog	14	44	74	Pitspawn Fouldog	bighead2	Act 1 Super B	Act 1 (N) Super B	Act 1 (H) Super B			Act 1 (H) Super B Desecrated	
8	8	2877	66	8		9	7	0	6	6	1	0		16	16	16	738	0	752	0	766	982	0	Flamespike the Crawler	0	0	0	Flamespike the Crawler	quillrat4	Act 1 Unique C	Act 1 (N) Unique C	Act 1 (H) Unique C			Act 1 (H) Unique C Desecrated	
9	9	2878	276	9		8	5	18	0	0	1	0		15	15	15	780	0	795	0	810	996	0	Boneash	17	45	75	Boneash	skmage_pois3	Act 1 Super C	Act 1 (N) Super C	Act 1 (H) Super C			Act 1 (H) Super C Desecrated	
10	10	2879	229	10		6	0	0	3	3	1	0		30	30	30	1220	1221	1224	1225	1228	1229	0	Radament	16	49	83	Radament	radament	Radament	Radament (N)	Radament (H)	Radament Desecrated A	Radament (N) Desecrated A	Radament (H) Desecrated A	
11	11	2880	83	11		5	7	0	5	5	1	0		29	29	29	1247	1248	1251	1252	1255	1256	0	Bloodwitch the Wild	17	48	85	Bloodwitch the Wild	pantherwoman1	Bloodwitch	Bloodwitch (N)	Bloodwitch (H)	Bloodwitch Desecrated A	Bloodwitch (N) Desecrated A	Bloodwitch (H) Desecrated A	
