INDEX	Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	___ItemProbSum	___ItemProbTotal	___TreasureClassDropChance	firstLadderSeason	lastLadderSeason	noAlwaysSpawn	___eol	
Gold	Gold	0	0	1	0	0	0	0	0	gld,mul=1024	1		0		0		0		0		0		0		0		0		0			Required Row 'Don't Remove'				0	
Void	Void	0	0	0	0	0	0	0	0		0		0		0		0		0		0		0		0		0		0							0	
Gold 1x	Gold 1x	0	0	1	0	0	0	0	0	Void	5	gld,mul=1024	1		0		0		0		0		0		0		0		0							0	
Gold 1.5x	Gold 1.5x	0	0	1	0	0	0	0	0	Void	5	gld,mul=1536	1		0		0		0		0		0		0		0		0							0	
Gold 2x	Gold 2x	0	0	1	0	0	0	0	0	Void	5	gld,mul=2048	1		0		0		0		0		0		0		0		0							0	
Gold 2.5x	Gold 2.5x	0	0	1	0	0	0	0	0	Void	5	gld,mul=2560	1		0		0		0		0		0		0		0		0							0	
Infusion Orb (Normal)	Infusion Orb (Normal)	0	0	1	0	0	0	0	0	ooi	1		0		0		0		0		0		0		0		0		0						1	0	
Assemblage Orb (Normal)	Assemblage Orb (Normal)	0	0	1	0	0	0	0	0	ooa	1		0		0		0		0		0		0		0		0		0						1	0	
Conversion Orb (Normal)	Conversion Orb (Normal)	0	0	1	0	0	0	0	0	ooc	1		0		0		0		0		0		0		0		0		0						1	0	
Corruption Orb (Normal)	Corruption Orb (Normal)	0	0	1	0	0	0	0	0	ka3	1		0		0		0		0		0		0		0		0		0						1	0	
Infusion Orb	Infusion Orb	0	0	1	0	0	0	0	0	1oi	1		0		0		0		0		0		0		0		0		0						1	0	
Assemblage Orb	Assemblage Orb	0	0	1	0	0	0	0	0	1oa	1		0		0		0		0		0		0		0		0		0						1	0	
Conversion Orb	Conversion Orb	0	0	1	0	0	0	0	0	1oc	1		0		0		0		0		0		0		0		0		0						1	0	
Socket Orb	Socket Orb	0	0	1	0	0	0	0	0	1os	1		0		0		0		0		0		0		0		0		0						1	0	
Corruption Orb	Corruption Orb	0	0	1	0	0	0	0	0	1ka	1		0		0		0		0		0		0		0		0		0						1	0	
Shadow Orb	Shadow Orb	0	0	1	0	0	0	0	0	1oe	1		0		0		0		0		0		0		0		0		0						1	0	
Gem Cluster	Gem Cluster	0	0	1	0	0	0	0	0	1gc	1		0		0		0		0		0		0		0		0		0						1	0	
Pandemonium Key A	Pandemonium Key A	0	0	1	0	0	0	0	0	pk1	1		0		0		0		0		0		0		0		0		0						1	0	
Pandemonium Key B	Pandemonium Key B	0	0	1	0	0	0	0	0	pk2	1		0		0		0		0		0		0		0		0		0						1	0	
Pandemonium Key C	Pandemonium Key C	0	0	1	0	0	0	0	0	pk3	1		0		0		0		0		0		0		0		0		0						1	0	
Pandemonium Keys	Pandemonium Keys	0	0	1	0	0	0	0	0	pk1	1	pk2	1	pk3	1		0		0		0		0		0		0		0						1	0	
