INDEX	name	type	type2	code	alternategfx	namestr	version	compactsave	rarity	spawnable	Transmogrify	TMogType	TMogMin	TMogMax	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam	rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	magic lvl	auto prefix	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	___comment	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	___quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	diablocloneweight	n_idx	typeindex	type2index	enName	minac	maxac	calc1	calc2	calc3	typeindex__STR	type2index__STR	
hax	Hand Axe	axe	1wep	hax	hax	hax	0		3	1	0	xxx			3	6			0	0	0	0			100		0	0	250		3	1	0	170	4510		316	hax	9ha	7ha	1hs	1hs	5	1hsl	1	3					flphax	invhax	invhaxu	invhaxu	1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0	0		35	7	0	0	3		1		1	1	1	1			255					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	2	2	0	axe	2ax	1	0		0	28	113	Hand Axe [N]	0	0	-1	-1	-1	28	113	
axe	Axe	axe	1wep	axe	axe	axe	0		4	1	0	xxx			4	11			0	0	0	0	1	10	100		32	0	250		7	1	0	403	8821		312	axe	9ax	7ax	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe	invaxeu	invaxeu	1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	2	2	0	2ax	mpi	1	0		1	28	113	Axe [N]	0	0	-1	-1	-1	28	113	
2ax	Double Axe	axe	1wep	2ax	axe	2ax	0		4	1	0	xxx			5	13			0	0	0	0	1	10	100		43	0	250		13	1	0	873	20349		312	2ax	92a	72a	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255			1	1	30					255	1	1		1	20					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	mpi	wax	1	0		2	28	113	Double Axe [N]	0	0	-1	-1	-1	28	113	
mpi	Military Pick	axe	1wep	mpi	axe	mpi	0		4	1	0	xxx			7	11			0	0	0	0	1	-10	100	25	49	33	250		19	1	0	1421	38999		312	mpi	9mp	7mp	1hs	1hs	5	1hsl	2	3					flpmpi	invmpi	invmpiu	invmpiu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255		1		1	20					255					255	1	1		1	20					255					255					255					255					255			1	1	20					255					255					255					255	2	2	0	wax	xxx	1	0		3	28	113	Military Pick [N]	0	0	-1	-1	-1	28	113	
wax	War Axe	axe	1wep	wax	hax	wax	0		4	1	0	xxx			10	18			0	0	0	0	2		100		67	0	250		25	1	0	2123	68075		312	wax	9wa	7wa	1hs	1hs	5	1hsl	2	3					flpwax	invwax			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	3	20					255	1	1	1	1	20					255					255	2	2	0	xxx	xxx	1	0		4	28	113	War Axe [N]	0	0	-1	-1	-1	28	113	
lax	Large Axe	axe	slam	lax	lax	lax	0		4	1	0	xxx			0	0		1	6	13	0	0	1	-10	150		35	0	250		6	1	0	354	7624		316	lax	9la	7la	stf	stf	5	2hsl	2	3					flplax	invlax			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	2	2	0	btx	gax	1	0		5	28	112	Large Axe [N]	0	0	-1	-1	-1	28	112	
bax	Broad Axe	axe	slam	bax	lax	bax	0		4	1	0	xxx			0	0		1	10	18	0	0	1		150		48	0	250		12	1	0	806	18172		312	bax	9ba	7ba	stf	stf	5	2hsl	2	3					flpbrx	invbrx			1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255	1	1	1	1	20					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	2	2	0	gax	gix	1	0		6	28	112	Broad Axe [N]	0	0	-1	-1	-1	28	112	
btx	Battle Axe	axe	slam	btx	btx	btx	0		4	1	0	xxx			0	0		1	12	32	0	0	1	10	150		54	0	250		17	1	0	1262	32454		312	btx	9bt	7bt	stf	stf	5	2hsl	2	3					flpbtx	invbtx	invbtxu	invbtxu	1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255	1	1	1	1	20					255					255	1	1		1	20					255					255					255					255					255					255					255					255					255					255	5	2	0	gix	xxx	1	0		7	28	112	Battle Axe [N]	0	0	-1	-1	-1	28	112	
gax	Great Axe	axe	slam	gax	btx	gax	0		4	1	0	xxx			0	0		1	9	30	0	0	2	-10	150	25	63	39	250		23	1	0	1916	58068		312	gax	9ga	7ga	stf	stf	5	2hsl	2	4					flpgax	invgax	invgaxu	invgaxu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0		8	28	112	Great Axe [N]	0	0	-1	-1	-1	28	112	
gix	Giant Axe	axe	slam	gix	gix	gix	0		4	1	0	xxx			0	0		1	22	45	0	0	3	10	150		70	0	250		27	1	0	2410	81070		312	gix	9gi	7gi	stf	stf	5	2hsl	2	3					flpgix	invgix			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0	0		0	7	0	0	3					255					255					255					255					255					255		1			20					255				1	1					255					255					255	1	1	2	2	20					255	1	1	1	1	20					255					255	2	2	0	xxx	xxx	1	0		9	28	112	Giant Axe [N]	0	0	-1	-1	-1	28	112	
